,0,1,2,3,,,
3,Dry opium Trader price (US$/Kg),70,74,6%,94,74,-21%
4,Fresh Opium Farm-gate price (US$/Kg),53,58,9%,67,58,-13%
5,Fresh Opium Trader price (US$/Kg),57,62,9%,73,62,-15%
6,Heroin High Quality,2025,1961,-3%,2866,1961,-32%
7,Heroin Medium Quality,1433,1475,3%,2206,1475,-33%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,July_2019,August_2019,"Change  
%",August_2018,August_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),66,70,6%,88,70,-20%
3,Dry opium Trader price (US$/Kg),70,74,6%,94,74,-21%
4,Fresh Opium Farm-gate price (US$/Kg),53,58,9%,67,58,-13%
5,Fresh Opium Trader price (US$/Kg),57,62,9%,73,62,-15%
6,Heroin High Quality,2025,1961,-3%,2866,1961,-32%
7,Heroin Medium Quality,1433,1475,3%,2206,1475,-33%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Aug-Jul) 
%",Hilmand,"Price 
change 
(Aug-Jul) 
%",,
1,,"Jul-19
Aug-19",,"Jul-19
Aug-19",,,
2,"Farm-gate price 
(US$/Kg)","79
93",18%,"125
130",4%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,,August_2019 September_2019,"Change  
%",September_2018 September_2019,,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),70,78,11%,82,78,-6%
3,Dry opium Trader price (US$/Kg),74,82,11%,88,82,-7%
4,Fresh Opium Farm-gate price (US$/Kg),58,64,10%,68,64,-6%
5,Fresh Opium Trader price (US$/Kg),62,68,10%,78,68,-12%
6,Heroin High Quality,1961,2143,9%,2916,2143,-27%
7,Heroin Medium Quality,1475,1512,3%,2177,1512,-31%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,,August_2019 September_2019,"Change  
%",September_2018 September_2019,,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),70,78,11%,82,78,-6%
3,Dry opium Trader price (US$/Kg),74,82,11%,88,82,-7%
4,Fresh Opium Farm-gate price (US$/Kg),58,64,10%,68,64,-6%
5,Fresh Opium Trader price (US$/Kg),62,68,10%,78,68,-12%
6,Heroin High Quality,1961,2143,9%,2916,2143,-27%
7,Heroin Medium Quality,1475,1512,3%,2177,1512,-31%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Sep-Aug) 
%",Hilmand,"Price 
change 
(Sep-Aug) 
%",,
1,,"Aug-19
Sep-19",,"Aug-19
Sep-19",,,
2,"Farm-gate price 
(US$/Kg)","93
95",2%,"130
131",1%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,September_2019,October_2019,"Change  
%",October_2018,October_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),78,79,1%,78,79,1%
3,Dry opium Trader price (US$/Kg),82,83,1%,84,83,-1%
4,Fresh Opium Farm-gate price (US$/Kg),64,66,4%,65.9,66.4,1%
5,Fresh Opium Trader price (US$/Kg),68,71,4%,71.3,70.7,-1%
6,Heroin High Quality,2143,2141,-0.10%,2707,2141,-21%
7,Heroin Medium Quality,1512,1547,2%,2134,1547,-28%
8,Methamphetamine (US$/Gram),NA,5,NA,NA,5,NA
9,Sosegon (US$/Ampole),NA,1,NA,NA,1,NA
10,Tablet k - A (US$/Tablet),NA,21,NA,NA,21,NA
11,Tablet k - B (US$/Tablet),NA,9,NA,NA,9,NA
12,Tablet k - C (US$/Tablet),NA,5,NA,NA,5,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,September_2019,October_2019,"Change  
%",October_2018,October_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),78,79,1%,78,79,1%
3,Dry opium Trader price (US$/Kg),82,83,1%,84,83,-1%
4,Fresh Opium Farm-gate price (US$/Kg),64,66,4%,65.9,66.4,1%
5,Fresh Opium Trader price (US$/Kg),68,71,4%,71.3,70.7,-1%
6,Heroin High Quality,2143,2141,-0.10%,2707,2141,-21%
7,Heroin Medium Quality,1512,1547,2%,2134,1547,-28%
8,Methamphetamine (US$/Gram),NA,5,NA,NA,5,NA
9,Sosegon (US$/Ampole),NA,1,NA,NA,1,NA
10,Tablet k - A (US$/Tablet),NA,21,NA,NA,21,NA
11,Tablet k - B (US$/Tablet),NA,9,NA,NA,9,NA
12,Tablet k - C (US$/Tablet),NA,5,NA,NA,5,NA
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Oct-Sep) 
%",Hilmand,"Price 
change 
(Oct-Sep) 
%",,
1,,"Sep-19
Oct-19",,"Sep-19
Oct-19",,,
2,"Farm-gate price 
(US$/Kg)","95
87",-9%,"131
128",-2%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,October_2019,November_2019,"Change  
%",November_2018,November_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,81,3%,80,81,1%
3,Dry opium Trader price (US$/Kg),83,87,4%,87,87,0%
4,Fresh Opium Farm-gate price (US$/Kg),66,62,-7%,61,62,1%
5,Fresh Opium Trader price (US$/Kg),71,68,-3%,68,68,0%
6,Heroin High Quality,"2,141","2,105",-2%,"2,690","2,105",-22%
7,Heroin Medium Quality,"1,547","1,492",-4%,"2,007","1,492",-26%
8,Methamphetamine (Imported)  (US$/Gram),NA,5,NA,NA,5,NA
9,Methamphetamine (Local)  (US$/Gram),NA,3,NA,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),NA,1,NA,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),NA,0.7,NA,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),NA,11,NA,NA,11,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),NA,11,NA,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),NA,9,NA,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),NA,3,NA,NA,3,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,October_2019,November_2019,"Change  
%",November_2018,November_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,81,3%,80,81,1%
3,Dry opium Trader price (US$/Kg),83,87,4%,87,87,0%
4,Fresh Opium Farm-gate price (US$/Kg),66,62,-7%,61,62,1%
5,Fresh Opium Trader price (US$/Kg),71,68,-3%,68,68,0%
6,Heroin High Quality,"2,141","2,105",-2%,"2,690","2,105",-22%
7,Heroin Medium Quality,"1,547","1,492",-4%,"2,007","1,492",-26%
8,Methamphetamine (Imported)  (US$/Gram),NA,5,NA,NA,5,NA
9,Methamphetamine (Local)  (US$/Gram),NA,3,NA,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),NA,1,NA,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),NA,0.7,NA,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),NA,11,NA,NA,11,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),NA,11,NA,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),NA,9,NA,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),NA,3,NA,NA,3,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,October_2019,November_2019,"Change  
%",November_2018,November_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,81,3%,80,81,1%
3,Dry opium Trader price (US$/Kg),83,87,4%,87,87,0%
4,Fresh Opium Farm-gate price (US$/Kg),66,62,-7%,61,62,1%
5,Fresh Opium Trader price (US$/Kg),71,68,-3%,68,68,0%
6,Heroin High Quality,"2,141","2,105",-2%,"2,690","2,105",-22%
7,Heroin Medium Quality,"1,547","1,492",-4%,"2,007","1,492",-26%
8,Methamphetamine (Imported)  (US$/Gram),NA,5,NA,NA,5,NA
9,Methamphetamine (Local)  (US$/Gram),NA,3,NA,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),NA,1,NA,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),NA,0.7,NA,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),NA,11,NA,NA,11,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),NA,11,NA,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),NA,9,NA,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),NA,3,NA,NA,3,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,October_2019,November_2019,"Change  
%",November_2018,November_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,81,3%,80,81,1%
3,Dry opium Trader price (US$/Kg),83,87,4%,87,87,0%
4,Fresh Opium Farm-gate price (US$/Kg),66,62,-7%,61,62,1%
5,Fresh Opium Trader price (US$/Kg),71,68,-3%,68,68,0%
6,Heroin High Quality,"2,141","2,105",-2%,"2,690","2,105",-22%
7,Heroin Medium Quality,"1,547","1,492",-4%,"2,007","1,492",-26%
8,Methamphetamine (Imported)  (US$/Gram),NA,5,NA,NA,5,NA
9,Methamphetamine (Local)  (US$/Gram),NA,3,NA,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),NA,1,NA,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),NA,0.7,NA,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),NA,11,NA,NA,11,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),NA,11,NA,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),NA,9,NA,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),NA,3,NA,NA,3,NA
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Nov-Oct) 
%",Hilmand,"Price 
change 
(Nov-Oct) 
%",,
1,,"Oct-19
Nov-19",,"Oct-19
Nov-19",,,
2,"Farm-gate price 
(US$/Kg)","87
86",-2%,"128
123",-4%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2019,December_2019,"Change  
%",December_2018,December_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),81,79,-3%,83,79,-5%
3,Dry opium Trader price (US$/Kg),87,83,-4%,89,83,-6%
4,Fresh Opium Farm-gate price (US$/Kg),62,64,4%,64,64,0%
5,Fresh Opium Trader price (US$/Kg),66,68,4%,71,68,-3%
6,Heroin High Quality,"2,105","2,097",-0.40%,"2,814","2,097",-25%
7,Heroin Medium Quality,"1,492","1,489",-0.20%,"2,196","1,489",-32%
8,Methamphetamine (Imported)  (US$/Gram),5,6,31%,NA,6,NA
9,Methamphetamine (Local)  (US$/Gram),3,3,-19%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),1,1,-38%,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.7,-8%,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),11,12,9%,NA,12,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),11,11,-4%,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),9,9,1%,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),3,3,2%,NA,3,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2019,December_2019,"Change  
%",December_2018,December_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),81,79,-3%,83,79,-5%
3,Dry opium Trader price (US$/Kg),87,83,-4%,89,83,-6%
4,Fresh Opium Farm-gate price (US$/Kg),62,64,4%,64,64,0%
5,Fresh Opium Trader price (US$/Kg),66,68,4%,71,68,-3%
6,Heroin High Quality,"2,105","2,097",-0.40%,"2,814","2,097",-25%
7,Heroin Medium Quality,"1,492","1,489",-0.20%,"2,196","1,489",-32%
8,Methamphetamine (Imported)  (US$/Gram),5,6,31%,NA,6,NA
9,Methamphetamine (Local)  (US$/Gram),3,3,-19%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),1,1,-38%,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.7,-8%,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),11,12,9%,NA,12,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),11,11,-4%,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),9,9,1%,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),3,3,2%,NA,3,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2019,December_2019,"Change  
%",December_2018,December_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),81,79,-3%,83,79,-5%
3,Dry opium Trader price (US$/Kg),87,83,-4%,89,83,-6%
4,Fresh Opium Farm-gate price (US$/Kg),62,64,4%,64,64,0%
5,Fresh Opium Trader price (US$/Kg),66,68,4%,71,68,-3%
6,Heroin High Quality,"2,105","2,097",-0.40%,"2,814","2,097",-25%
7,Heroin Medium Quality,"1,492","1,489",-0.20%,"2,196","1,489",-32%
8,Methamphetamine (Imported)  (US$/Gram),5,6,31%,NA,6,NA
9,Methamphetamine (Local)  (US$/Gram),3,3,-19%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),1,1,-38%,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.7,-8%,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),11,12,9%,NA,12,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),11,11,-4%,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),9,9,1%,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),3,3,2%,NA,3,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2019,December_2019,"Change  
%",December_2018,December_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),81,79,-3%,83,79,-5%
3,Dry opium Trader price (US$/Kg),87,83,-4%,89,83,-6%
4,Fresh Opium Farm-gate price (US$/Kg),62,64,4%,64,64,0%
5,Fresh Opium Trader price (US$/Kg),66,68,4%,71,68,-3%
6,Heroin High Quality,"2,105","2,097",-0.40%,"2,814","2,097",-25%
7,Heroin Medium Quality,"1,492","1,489",-0.20%,"2,196","1,489",-32%
8,Methamphetamine (Imported)  (US$/Gram),5,6,31%,NA,6,NA
9,Methamphetamine (Local)  (US$/Gram),3,3,-19%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),1,1,-38%,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.7,-8%,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),11,12,9%,NA,12,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),11,11,-4%,NA,11,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),9,9,1%,NA,9,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),3,3,2%,NA,3,NA
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Dec-Nov) 
%",Hilmand,"Price 
change 
(Dec-Nov) 
%",,
1,,"Nov-19
Dec-19",,"Nov-19
Dec-19",,,
2,"Farm-gate price 
(US$/Kg)","86
88",3%,"123
124",1%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,December_2019,January_2020,"Change  
%",January_2019,January_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,80,2%,84,80,-4%
3,Dry opium Trader price (US$/Kg),83,84,0.40%,90,84,-7%
4,Fresh Opium Farm-gate price (US$/Kg),64,64,1%,67,64,-4%
5,Fresh Opium Trader price (US$/Kg),68,69,0.50%,74,69,-7%
6,Heroin High Quality,NA,"2,655",NA,"2,440","2,655",9%
7,Heroin Medium Quality,NA,"1,520",NA,"1,921","1,520",-21%
8,Methamphetamine (Imported)  (US$/Gram),6,7,11%,NA,7,NA
9,Methamphetamine (Local)  (US$/Gram),3,4,34%,NA,4,NA
10,Sosegon (Imported)  (US$/Ampoule),1,1,13%,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.9,33%,NA,0.9,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),12,16,33%,NA,16,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),11,9,-18%,NA,9,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),9,7,-17%,NA,7,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),3,5,51%,NA,5,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,December_2019,January_2020,"Change  
%",January_2019,January_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,80,2%,84,80,-4%
3,Dry opium Trader price (US$/Kg),83,84,0.40%,90,84,-7%
4,Fresh Opium Farm-gate price (US$/Kg),64,64,1%,67,64,-4%
5,Fresh Opium Trader price (US$/Kg),68,69,0.50%,74,69,-7%
6,Heroin High Quality,NA,"2,655",NA,"2,440","2,655",9%
7,Heroin Medium Quality,NA,"1,520",NA,"1,921","1,520",-21%
8,Methamphetamine (Imported)  (US$/Gram),6,7,11%,NA,7,NA
9,Methamphetamine (Local)  (US$/Gram),3,4,34%,NA,4,NA
10,Sosegon (Imported)  (US$/Ampoule),1,1,13%,NA,1,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.9,33%,NA,0.9,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),12,16,33%,NA,16,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),11,9,-18%,NA,9,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),9,7,-17%,NA,7,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),3,5,51%,NA,5,NA
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jan-Dec) 
%",Hilmand,,"Price 
change 
(Jan-Dec) 
%"
1,,19-Dec,20-Jan,,19-Dec,20-Jan,
2,"Farm-gate price 
(US$/Kg)",88,80,-9%,124,117,-6%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,January_2020,February_2020,"Change  
%",February_2019,February_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),80,77,-4%,79,77,-3%
3,Dry opium Trader price (US$/Kg),84,81,-4%,84,81,-5%
4,Fresh Opium Farm-gate price (US$/Kg),64,59,-7%,66,59,-10%
5,Fresh Opium Trader price (US$/Kg),69,64,-7%,72,64,-12%
6,Heroin High Quality,"2,624","2,567",-2%,2461,"2,567",4%
7,Heroin Medium Quality,"1,583","1,539",-3%,1867,"1,539",-18%
8,Methamphetamine (Imported)  (US$/Gram),6.9,5.2,-25%,NA,5.2,NA
9,Methamphetamine (Local)  (US$/Gram),3.6,2.9,-20%,NA,2.9,NA
10,Sosegon (Imported)  (US$/Ampoule),1,0.9,-18%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.9,0.6,-30%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),15.7,14,-11%,NA,14,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),9,9.3,3%,NA,9.3,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7.4,7,-6%,NA,7,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),5.2,5.4,2%,NA,5.4,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,January_2020,February_2020,"Change  
%",February_2019,February_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),80,77,-4%,79,77,-3%
3,Dry opium Trader price (US$/Kg),84,81,-4%,84,81,-5%
4,Fresh Opium Farm-gate price (US$/Kg),64,59,-7%,66,59,-10%
5,Fresh Opium Trader price (US$/Kg),69,64,-7%,72,64,-12%
6,Heroin High Quality,"2,624","2,567",-2%,2461,"2,567",4%
7,Heroin Medium Quality,"1,583","1,539",-3%,1867,"1,539",-18%
8,Methamphetamine (Imported)  (US$/Gram),6.9,5.2,-25%,NA,5.2,NA
9,Methamphetamine (Local)  (US$/Gram),3.6,2.9,-20%,NA,2.9,NA
10,Sosegon (Imported)  (US$/Ampoule),1,0.9,-18%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.9,0.6,-30%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),15.7,14,-11%,NA,14,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),9,9.3,3%,NA,9.3,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7.4,7,-6%,NA,7,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),5.2,5.4,2%,NA,5.4,NA
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Feb-Jan) 
%",Hilmand,"Price 
change 
(Feb-Jan) 
%",,
1,,"Jan-20
Feb-20",,"Jan-20
Feb-20",,,
2,"Farm-gate price 
(US$/Kg)","80
82",2%,"117
132",13%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,February_2020,March_2020,"Change  
%",March_2019,March_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),77,71,-8%,73,71,-3%
3,Dry opium Trader price (US$/Kg),81,75,-7%,78,75,-4%
4,Fresh Opium Farm-gate price (US$/Kg),59,54,-9%,57,54,-5%
5,Fresh Opium Trader price (US$/Kg),64,58,-9%,63,58,-7%
6,Heroin High Quality,"2,537","2,441",-4%,"2,394","2,441",2%
7,Heroin Medium Quality,"1,539","1,493",-3%,"1,784","1,493",-16%
8,Methamphetamine (Imported)  (US$/Gram),5.2,5.4,4%,NA,5.4,NA
9,Methamphetamine (Local)  (US$/Gram),2.9,2.9,0%,NA,2.9,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,5%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.6,-3%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),14,13.5,-4%,NA,13.5,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),9.3,8.5,-9%,NA,8.5,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7,7,1%,NA,7,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),5.4,6.2,16%,NA,6.2,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,February_2020,March_2020,"Change  
%",March_2019,March_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),77,71,-8%,73,71,-3%
3,Dry opium Trader price (US$/Kg),81,75,-7%,78,75,-4%
4,Fresh Opium Farm-gate price (US$/Kg),59,54,-9%,57,54,-5%
5,Fresh Opium Trader price (US$/Kg),64,58,-9%,63,58,-7%
6,Heroin High Quality,"2,537","2,441",-4%,"2,394","2,441",2%
7,Heroin Medium Quality,"1,539","1,493",-3%,"1,784","1,493",-16%
8,Methamphetamine (Imported)  (US$/Gram),5.2,5.4,4%,NA,5.4,NA
9,Methamphetamine (Local)  (US$/Gram),2.9,2.9,0%,NA,2.9,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,5%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.6,-3%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),14,13.5,-4%,NA,13.5,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),9.3,8.5,-9%,NA,8.5,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7,7,1%,NA,7,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),5.4,6.2,16%,NA,6.2,NA
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Mar-Feb) 
%",Hilmand,"Price 
change 
(Mar-Feb) 
%",,
1,,"Feb-20
Mar-20",,"Feb-20
Mar-20",,,
2,"Farm-gate price 
(US$/Kg)","82
78",-5%,"132
108",-18%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,March_2020,April_2020,"Change  
%",April_2019,April_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),71,72,1%,67,72,7%
3,Dry opium Trader price (US$/Kg),75,76,2%,72,76,5%
4,Fresh Opium Farm-gate price (US$/Kg),54,52,-3%,52.1,52.3,0.40%
5,Fresh Opium Trader price (US$/Kg),58,57,-3%,58,57,-2%
6,Heroin High Quality,"2,441","2,515",3%,"2,300","2,515",9%
7,Heroin Medium Quality,"1,493","1,562",5%,"1,675","1,562",-7%
8,Methamphetamine (Imported)  (US$/Gram),5.4,5.3,-2%,NA,5.3,NA
9,Methamphetamine (Local)  (US$/Gram),2.9,3,4%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-2%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.6,2%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),13.5,13.8,2%,NA,13.8,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.5,8.9,4%,NA,8.9,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7,7.1,1%,NA,7.1,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6.2,6.1,-2%,NA,6.1,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,March_2020,April_2020,"Change  
%",April_2019,April_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),71,72,1%,67,72,7%
3,Dry opium Trader price (US$/Kg),75,76,2%,72,76,5%
4,Fresh Opium Farm-gate price (US$/Kg),54,52,-3%,52.1,52.3,0.40%
5,Fresh Opium Trader price (US$/Kg),58,57,-3%,58,57,-2%
6,Heroin High Quality,"2,441","2,515",3%,"2,300","2,515",9%
7,Heroin Medium Quality,"1,493","1,562",5%,"1,675","1,562",-7%
8,Methamphetamine (Imported)  (US$/Gram),5.4,5.3,-2%,NA,5.3,NA
9,Methamphetamine (Local)  (US$/Gram),2.9,3,4%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-2%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.6,2%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),13.5,13.8,2%,NA,13.8,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.5,8.9,4%,NA,8.9,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7,7.1,1%,NA,7.1,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6.2,6.1,-2%,NA,6.1,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,March_2020,April_2020,"Change  
%",April_2019,April_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),71,72,1%,67,72,7%
3,Dry opium Trader price (US$/Kg),75,76,2%,72,76,5%
4,Fresh Opium Farm-gate price (US$/Kg),54,52,-3%,52.1,52.3,0.40%
5,Fresh Opium Trader price (US$/Kg),58,57,-3%,58,57,-2%
6,Heroin High Quality,"2,441","2,515",3%,"2,300","2,515",9%
7,Heroin Medium Quality,"1,493","1,562",5%,"1,675","1,562",-7%
8,Methamphetamine (Imported)  (US$/Gram),5.4,5.3,-2%,NA,5.3,NA
9,Methamphetamine (Local)  (US$/Gram),2.9,3,4%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-2%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.6,2%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),13.5,13.8,2%,NA,13.8,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.5,8.9,4%,NA,8.9,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7,7.1,1%,NA,7.1,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6.2,6.1,-2%,NA,6.1,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,March_2020,April_2020,"Change  
%",April_2019,April_2020,"Change 
%"
